"Name","Team","Tm","College","Year","Rnd","Pick","Wins","Losses","WP"
"Aikman, Troy","Dallas Cowboys",DAL,"UCLA",1989,1,1,3,0,1
"Anderson, Ken","Cincinnati Bengals",CIN,"Augustana (IL)",1971,3,67,0,1,0
"Bledsoe, Drew","New England Patriots",NWE,"Washington St.",1993,1,1,0,1,0
"Bradshaw, Terry","Pittsburgh Steelers",PIT,"Louisiana Tech",1970,1,1,4,0,1
"Brady, Tom","New England Patriots",NWE,"Michigan",2000,6,199,4,2,0.667
"Brees, Drew","New Orleans Saints",SDG,"Purdue",2001,2,32,1,0,1
"Chandler, Chris","Atlanta Falcons",IND,"Washington",1988,3,76,0,1,0
"Collins, Kerry","New York Giants",CAR,"Penn St.",1995,1,5,0,1,0
"Dawson, Len","Kansas City Chiefs",PIT,"Purdue",1957,1,5,1,1,0.5
"Dilfer, Trent","Baltimore Ravens",TAM,"Fresno St.",1994,1,6,1,0,1
"Eason, Tony","New England Patriots",NWE,"Illinois",1983,1,15,0,1,0
"Elway, John","Denver Broncos",BAL,"Stanford",1983,1,1,2,3,0.4
"Esiason, Boomer","Cincinnati Bengals",CIN,"Maryland",1984,2,38,0,1,0
"Favre, Brett","Green Bay Packers",ATL,"Southern Miss",1991,2,33,1,1,0.5
"Ferragamo, Vince","St. Louis Rams",RAM,"Nebraska",1977,4,91,0,1,0
"Flacco, Joe","Baltimore Ravens",BAL,"Delaware",2008,1,18,1,0,1
"Gannon, Rich","Oakland Raiders",NWE,"Delaware",1987,4,98,0,1,0
"Griese, Bob","Miami Dolphins",MIA,"Purdue",1967,1,4,2,1,0.667
"Grossman, Rex","Chicago Bears",CHI,"Florida",2003,1,22,0,1,0
"Hasselbeck, Matt","Seattle Seahawks",GNB,"Boston Col.",1998,6,187,0,1,0
"Hostetler, Jeff","New York Giants",NYG,"West Virginia",1984,3,59,1,0,1
"Humphries, Stan","San Diego Chargers",WAS,"La-Monroe",1988,6,159,0,1,0
"Jaworski, Ron","Philadelphia Eagles",RAM,"Youngstown St.",1973,2,37,0,1,0
"Johnson, Brad","Tampa Bay Buccaneers",MIN,"Florida St.",1992,9,227,1,0,1
"Kaepernick, Colin","San Francisco 49ers",SFO,"Nevada",2011,2,36,0,1,0
"Kapp, Joe","Minnesota Vikings",WAS,"California",1959,18,209,0,1,0
"Kelly, Jim","Buffalo Bills",BUF,"Miami (FL)",1983,1,14,0,4,0
"Kilmer, Billy","Washington Redskins",SFO,"UCLA",1961,1,11,0,1,0
"Lamonica, Daryle","Oakland Raiders",GNB,"Notre Dame",1963,12,168,0,1,0
"Manning, Eli","New York Giants",SDG,"Mississippi",2004,1,1,2,0,1
"Manning, Peyton","Denver Broncos",IND,"Tennessee",1998,1,1,0,1,0
"Manning, Peyton","Indianapolis Colts",IND,"Tennessee",1998,1,1,1,1,0.5
"Marino, Dan","Miami Dolphins",MIA,"Pittsburgh",1983,1,27,0,1,0
"McMahon, Jim","Chicago Bears",CHI,"BYU",1982,1,5,1,0,1
"McNabb, Donovan","Philadelphia Eagles",PHI,"Syracuse",1999,1,2,0,1,0
"McNair, Steve","Tennessee Titans",HOU,"Alcorn St.",1995,1,3,0,1,0
"Montana, Joe","San Francisco 49ers",SFO,"Notre Dame",1979,3,82,4,0,1
"Morrall, Earl","Indianapolis Colts",SFO,"Michigan St.",1956,1,2,0,1,0
"Morton, Craig","Dallas Cowboys",DAL,"California",1965,1,5,0,1,0
"Morton, Craig","Denver Broncos",DAL,"California",1965,1,5,0,1,0
"Namath, Joe","New York Jets",STL,"Alabama",1965,1,12,1,0,1
"O'Donnell, Neil","Pittsburgh Steelers",PIT,"Maryland",1990,3,70,0,1,0
"Plunkett, Jim","Oakland Raiders",NWE,"Stanford",1971,1,1,2,0,1
"Rodgers, Aaron","Green Bay Packers",GNB,"California",2005,1,24,1,0,1
"Roethlisberger, Ben","Pittsburgh Steelers",PIT,"Miami (OH)",2004,1,11,2,1,0.667
"Rypien, Mark","Washington Redskins",WAS,"Washington St.",1986,6,146,1,0,1
"Simms, Phil","New York Giants",NYG,"Morehead St.",1979,1,7,1,0,1
"Stabler, Ken","Oakland Raiders",OAK,"Alabama",1968,2,52,1,0,1
"Starr, Bart","Green Bay Packers",GNB,"Alabama",1956,17,200,2,0,1
"Staubach, Roger","Dallas Cowboys",DAL,"Navy",1964,10,129,2,2,0.5
"Tarkenton, Fran","Minnesota Vikings",MIN,"Georgia",1961,3,29,0,3,0
"Theismann, Joe","Washington Redskins",MIA,"Notre Dame",1971,4,99,1,1,0.5
"Unitas, Johnny","Indianapolis Colts",PIT,"Louisville",1955,9,102,1,0,1
"Williams, Doug","Washington Redskins",TAM,"Grambling St.",1978,1,17,1,0,1
"Wilson, Russell","Seattle Seahawks",SEA,"Wisconsin",2012,3,75,1,1,0.5
"Woodley, David","Miami Dolphins",MIA,"LSU",1980,8,214,0,1,0
"Young, Steve","San Francisco 49ers",TAM,"BYU",1984,1,1,1,0,1
