"Name","Team","Wins","Losses","WP"
"Aikman, Troy",Dallas Cowboys,3,0,1
"Anderson, Ken",Cincinnati Bengals,0,1,0
"Bledsoe, Drew",New England Patriots,0,1,0
"Bradshaw, Terry",Pittsburgh Steelers,4,0,1
"Brady, Tom",New England Patriots,4,2,0.667
"Brees, Drew",New Orleans Saints,1,0,1
"Chandler, Chris",Atlanta Falcons,0,1,0
"Collins, Kerry",New York Giants,0,1,0
"Dawson, Len",Kansas City Chiefs,1,1,0.5
"Delhomme, Jake",Carolina Panthers,0,1,0
"Dilfer, Trent",Baltimore Ravens,1,0,1
"Eason, Tony",New England Patriots,0,1,0
"Elway, John",Denver Broncos,2,3,0.4
"Esiason, Boomer",Cincinnati Bengals,0,1,0
"Favre, Brett",Green Bay Packers,1,1,0.5
"Ferragamo, Vince",St. Louis Rams,0,1,0
"Flacco, Joe",Baltimore Ravens,1,0,1
"Gannon, Rich",Oakland Raiders,0,1,0
"Griese, Bob",Miami Dolphins,2,1,0.667
"Grossman, Rex",Chicago Bears,0,1,0
"Hasselbeck, Matt",Seattle Seahawks,0,1,0
"Hostetler, Jeff",New York Giants,1,0,1
"Humphries, Stan",San Diego Chargers,0,1,0
"Jaworski, Ron",Philadelphia Eagles,0,1,0
"Johnson, Brad",Tampa Bay Buccaneers,1,0,1
"Kaepernick, Colin",San Francisco 49ers,0,1,0
"Kapp, Joe",Minnesota Vikings,0,1,0
"Kelly, Jim",Buffalo Bills,0,4,0
"Kilmer, Billy",Washington Redskins,0,1,0
"Lamonica, Daryle",Oakland Raiders,0,1,0
"Manning, Eli",New York Giants,2,0,1
"Manning, Peyton",Denver Broncos,0,1,0
"Manning, Peyton",Indianapolis Colts,1,1,0.5
"Marino, Dan",Miami Dolphins,0,1,0
"McMahon, Jim",Chicago Bears,1,0,1
"McNabb, Donovan",Philadelphia Eagles,0,1,0
"McNair, Steve",Tennessee Titans,0,1,0
"Montana, Joe",San Francisco 49ers,4,0,1
"Morrall, Earl",Indianapolis Colts,0,1,0
"Morton, Craig",Dallas Cowboys,0,1,0
"Morton, Craig",Denver Broncos,0,1,0
"Namath, Joe",New York Jets,1,0,1
"O'Donnell, Neil",Pittsburgh Steelers,0,1,0
"Plunkett, Jim",Oakland Raiders,2,0,1
"Rodgers, Aaron",Green Bay Packers,1,0,1
"Roethlisberger, Ben",Pittsburgh Steelers,2,1,0.667
"Rypien, Mark",Washington Redskins,1,0,1
"Simms, Phil",New York Giants,1,0,1
"Stabler, Ken",Oakland Raiders,1,0,1
"Starr, Bart",Green Bay Packers,2,0,1
"Staubach, Roger",Dallas Cowboys,2,2,0.5
"Tarkenton, Fran",Minnesota Vikings,0,3,0
"Theismann, Joe",Washington Redskins,1,1,0.5
"Unitas, Johnny",Indianapolis Colts,1,0,1
"Warner, Kurt",Arizona Cardinals,0,1,0
"Warner, Kurt",St. Louis Rams,1,1,0.5
"Williams, Doug",Washington Redskins,1,0,1
"Wilson, Russell",Seattle Seahawks,1,1,0.5
"Woodley, David",Miami Dolphins,0,1,0
"Young, Steve",San Francisco 49ers,1,0,1
